Service name,Source website URL,Summary text,Self-referral,Age
Food-growing and creative sessions MindFood,https://mindfood.org.uk,"Supports adults experiencing anxiety, depression, stress or isolation through a range of courses including courses with a focus on wellbeing and growing food and nature-inspired creativity, as well as a drop-in programme. They also run specific sessions for men (and non-binary people who feel comfortable in a space that centres male experience), as well as an 'at home' programme for people who can’t (or aren’t) ready to go in-person.",1,18|19|20|21|22|23|24|25
Easy Project Ealing Change Grow Live,https://www.changegrowlive.org/service/ealing-easy-project/info,"Supports children and young people who are using (or thinking of using) alcohol or drugs, or who are affected by anyone else using alcohol or drugs. You do not have to be addicted to substances to get support, and you do not have to be ready to give up alcohol or drugs to get support.",1,10|11|12|13|14|15|16|17
Ealing RISE Change Grow Live,https://www.changegrowlive.org/service/ealing-rise,"Supports adults who want to cut down or stop their use of drugs or alcohol through one-to-one support sessions, counselling, groupwork,and  medically-assisted treatment. They can also refer on to other services.",1,18|19|20|21|22|23|24|25
Women’s Wellness Zone Ealing Change Grow Live,https://www.changegrowlive.org/service/ealing-womens-wellness-zone/info,"Supports women who are experiencing three (or more) issues including: drug or alcohol use, mental health issues, domestic abuse, involvement with the criminal justice system, selling sex or sex trafficking. Offers guidance and support, referrals and assessments, and access to community inpatient detoxificaton and rehabilitation services.",1,18|19|20|21|22|23|24|25
Ealing and Hounslow Young Carers Project Brentford FC Community Sports Trust,https://www.brentfordfccst.com/en/young-carers,"Offers young carers  information and advice, fun activities in school holidays, weekly youth clubs, school support and one-to-one support.",1,8|9|10|11|12|13|14|15|16|17|18
Youth clubs EASE (Empowering Action & Social Esteem),https://www.empowering-action.org.uk/ease-youth-clubs/,"Youth clubs across three locations in Ealing offering activities including arts and crafts, boad hames, sports and fitness, cooking, trips, mentoring, Dj sessions, and gang prevention workshops.",1,11|12|13|14|15|16|17|18|19
The Refresh Project EASE (Empowering Action & Social Esteem),https://www.empowering-action.org.uk/the-refresh-project/,"Up to 10 sessions of one-to-one coaching and group support for adults in Ealing. You can talk about what’s going on in your life (incluing emotions or relationship or other challenges) and get support to identify and work towards your goals. Support is provided by phone, online, and in-person.",1,18|19|20|21|22|23|24|25
Youth Centres Young Ealing,https://www.youngealing.co.uk/youth-centres/,"Offer a range of programmes and activities including arts, sports, cooking, music studio, fitness suite, and DJing. You can also use computers and access support from adults. There are centres across Ealing.",1,11|12|13|14|15|16|17|18|19
Horizons Education and Achievement Centre. Young Ealing,https://www.youngealing.co.uk/services-for-looked-after-children/,"Support for young people who are in care or have recently left care, including from youth workers, teachers, social workers, health staff, employment workers and arts and music consultants. You can also get involved in activities like quad biking, going to the theatre, and rock climbing.",1,11|12|13|14|15|16|17|18|19
Ascent EACH,https://eachcounselling.org.uk/ascent/,"Up to 21 sessions of one-to-one counselling for women with current or past experience of domestic violence or abuse. Counselling is available in Gujarati, Hindi, Punjabi, Urdu, Pashto and English.",1,16|17|18|19|20|21|22|23|24|25
Jasmine Project EACH,https://eachcounselling.org.uk/jasmine/,"Offers counselling and support groups to women who are affected by domestic violence or abuse, trauma, mental health issues, or problematic drug or alcohol use.",1,18|19|20|21|22|23|24|25
